Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
atp5j	atp5j	NC_007112.7	-	610327	614663	183.365341	107.197380	138.368256
appa	appa	NC_007112.7	-	617799	656793	64.410797	20.300917	26.204021
cyyr1	cyyr1	NC_007112.7	-	658405	669717	5.502079	1.734139	2.238392
adamts1	adamts1	NC_007112.7	-	672189	681503	1.262729	0.416386	0.537463
adamts5	adamts5	NC_007112.7	-	691738	714626	0.000000	0.000000	0.000000
n6amt1	n6amt1	NC_007112.7	+	961607	970952	18.211206	5.739786	7.408802
gart	gart	NC_007112.7	-	973067	1005061	7.667432	2.416612	3.119315
LOC100332351	LOC100332351	NC_007112.7	-	1006793	1014803	9.247826	2.914719	3.762261
LOC101886071	LOC101886071	NC_007112.7	-	1027556	1030612	1.689471	0.583349	0.752975
donson	donson	NC_007112.7	-	1286285	1352950	0.000000	0.000000	0.000000
runx1	runx1	NC_007112.7	-	1361974	1402588	0.979498	0.424746	0.548254
mir459	mir459	NC_007112.7	+	1575483	1575563	0.000000	0.000000	0.000000
urp2	urp2	NC_007112.7	+	1599979	1614496	0.000000	0.000000	0.000000
LOC100333907	LOC100333907	NC_007112.7	-	1618992	1631504	2.077299	0.654721	0.845100
atp1a1a.4	atp1a1a.4	NC_007112.7	+	1689794	1706159	1271.589600	400.778076	517.316406
atp1a1a.1	atp1a1a.1	NC_007112.7	+	1712169	1731564	926.726746	292.084625	377.017029
LOC108187381	LOC108187381	NC_007112.7	-	1772028	1788265	0.094867	0.029900	0.038594
atp1a1a.2	atp1a1a.2	NC_007112.7	+	1789357	1796834	14.090516	4.441032	5.732396
atp1a1a.3	atp1a1a.3	NC_007112.7	+	1805294	1815660	33.131123	10.442227	13.478620
atp1a1a.5	atp1a1a.5	NC_007112.7	+	1838164	1850104	38.667439	12.187158	15.730941
si:ch211-132g1.3	si:ch211-132g1.3	NC_007112.7	-	1858212	1885624	12.420287	4.145425	5.350833
LOC103911757	LOC103911757	NC_007112.7	-	1887409	1894104	0.000000	0.000000	0.000000
si:ch211-132g1.6	si:ch211-132g1.6	NC_007112.7	+	1896661	1900710	4.146311	1.306829	1.686829
si:ch211-132g1.4	si:ch211-132g1.4	NC_007112.7	+	1904336	1911709	36.071957	11.383824	14.694014
si:ch211-132g1.1	si:ch211-132g1.1	NC_007112.7	+	1915939	1925963	12.354647	3.893923	5.026198
si:ch211-132g1.7	si:ch211-132g1.7	NC_007112.7	+	1941043	2000500	0.822738	0.259310	0.334712
slc5a3a	slc5a3a	NC_007112.7	+	2025085	2027100	0.036826	0.011607	0.014982
oxgr1a.1	oxgr1a.1	NC_007112.7	-	2048050	2051599	0.000000	0.000000	0.000000
oxgr1a.3	oxgr1a.3	NC_007112.7	-	2060430	2061419	0.000000	0.000000	0.000000
oxgr1a.2	oxgr1a.2	NC_007112.7	-	2074513	2075529	0.073866	0.023281	0.030051
mbnl2	mbnl2	NC_007112.7	+	2101512	2217860	3.442558	4.304063	5.555599
rap2ab	rap2ab	NC_007112.7	+	2222366	2240119	0.000000	0.000000	0.000000
kpnb3	kpnb3	NC_007112.7	+	2260447	2299553	110.370338	34.801773	44.921444
farp1	farp1	NC_007112.7	+	2301930	2446117	9.190194	2.896554	3.738815
si:ch211-235f1.3	si:ch211-235f1.3	NC_007112.7	-	2331575	2358761	0.014663	0.007827	0.010103
ggact.3	ggact.3	NC_007112.7	-	2447021	2449490	8.310393	2.619260	3.380889
ggact.2	ggact.2	NC_007112.7	-	2450163	2453133	22.312263	7.032352	9.077221
ggact.1	ggact.1	NC_007112.7	-	2454140	2457526	82.919716	26.134537	33.733940
gpc6a	gpc6a	NC_007112.7	+	2712901	3036374	0.153555	0.049002	0.063251
LOC110439758	LOC110439758	NC_007112.7	+	2925455	2927347	0.000000	0.000000	0.000000
gpc5a	gpc5a	NC_007112.7	-	3100244	3295045	3.760340	1.185179	1.529806
mir92a-1	mir92a-1	NC_007112.7	-	3297367	3297451	0.211765	0.257874	0.332858
LOC103910100	LOC103910100	NC_007112.7	+	3786526	3833365	0.000000	0.000000	0.000000
slitrk6	slitrk6	NC_007112.7	+	4101741	4154332	1.284319	0.404790	0.522495
LOC101887188	LOC101887188	NC_007112.7	-	4117881	4125107	0.120638	0.148238	0.191343
slitrk1	slitrk1	NC_007112.7	+	4545187	4550481	0.362040	0.114107	0.147287
LOC101882161	LOC101882161	NC_007112.7	-	4783348	4785448	0.000000	0.000000	0.000000
LOC103911774	LOC103911774	NC_007112.7	-	5148593	5154048	0.000000	0.000000	0.000000
spry2	spry2	NC_007112.7	+	5273457	5277598	23.608303	7.618604	9.833943
ndfip2	ndfip2	NC_007112.7	-	5354489	5394686	57.582790	18.148874	23.426208
tuba8l2	tuba8l2	NC_007112.7	+	5402484	5419116	472.474487	148.913940	192.215164
stk16	stk16	NC_007112.7	+	5422437	5434261	5.491793	1.730897	2.234207
mnx2b	mnx2b	NC_007112.7	-	5449777	5455502	1.901042	0.611916	0.789849
atic	atic	NC_007112.7	+	5485853	5503665	23.688713	7.466180	9.637197
fn1b	fn1b	NC_007112.7	-	5504131	5543086	62.354156	20.336191	26.249552
cpo	cpo	NC_007112.7	+	5576151	5587130	557.778992	175.800110	226.919312
nrp2a	nrp2a	NC_007112.7	-	5606460	5746056	0.377098	0.301862	0.389638
pard3ba	pard3ba	NC_007112.7	-	5795014	6085751	1.688910	1.421228	1.834492
abcb6a	abcb6a	NC_007112.7	+	6135126	6160856	9.224086	2.907790	3.753318
cnppd1	cnppd1	NC_007112.7	+	6161989	6169817	36.346188	11.455547	14.786594
prkag3a	prkag3a	NC_007112.7	+	6171517	6185520	2.408193	0.767034	0.990072
retreg2	retreg2	NC_007112.7	+	6189856	6210816	9.277522	2.975357	3.840532
mdh1b	mdh1b	NC_007112.7	-	6218628	6225363	0.000000	0.000000	0.000000
fastkd2	fastkd2	NC_007112.7	+	6221936	6243817	25.672510	9.522882	12.291948
gtf3c3	gtf3c3	NC_007112.7	+	6243906	6272146	8.903649	2.806242	3.622241
hecw2b	hecw2b	NC_007112.7	+	6276244	6365434	1.893997	0.596948	0.770528
klf7a	klf7a	NC_007112.7	-	6403562	6494384	0.204222	0.064366	0.083083
si:ch211-93g23.2	si:ch211-93g23.2	NC_007112.7	+	6640002	6646358	14.111752	6.343233	8.187719
ube2f	ube2f	NC_007112.7	+	6646507	6664123	18.140974	7.137558	9.213018
erbb4a	erbb4a	NC_007112.7	+	6817290	6925113	0.000000	0.000000	0.000000
LOC108184914	LOC108184914	NC_007112.7	-	6984652	7054455	0.131224	0.041359	0.053385
si:ch73-383l1.1	si:ch73-383l1.1	NC_007112.7	+	7189839	7451903	0.000000	0.000000	0.000000
lancl1	lancl1	NC_007112.7	+	7517461	7539716	9.896851	3.119277	4.026302
mylz3	mylz3	NC_007112.7	+	7546347	7554358	5.390155	1.698862	2.192858
pcnp	pcnp	NC_007112.7	+	7556963	7561231	18.491112	6.998988	9.034155
mxa	mxa	NC_007112.7	-	7562323	7570219	5.651662	1.781284	2.299246
mxb	mxb	NC_007112.7	-	7574224	7603573	0.580203	0.185991	0.240073
efnb2b	efnb2b	NC_007112.7	-	7634516	7659569	2.409950	0.759565	0.980432
arglu1b	arglu1b	NC_007112.7	-	7662091	7673376	62.197742	19.603411	25.303694
en1b	en1b	NC_007112.7	+	7679225	7683374	0.000000	0.000000	0.000000
radil	radil	NC_007112.7	-	7847423	7894273	0.000000	0.000000	0.000000
wu:fc47e11	wu:fc47e11	NC_007112.7	-	7917882	7920638	10.708266	3.375018	4.356407
si:dkey-79f11.10	si:dkey-79f11.10	NC_007112.7	-	7924955	8012299	9.515130	20.690264	26.706585
si:dkey-79f11.9	si:dkey-79f11.9	NC_007112.7	-	7935957	7940616	0.000000	0.000000	0.000000
si:dkey-79f11.7	si:dkey-79f11.7	NC_007112.7	-	7946171	7978531	53.382145	23.681400	30.567482
si:dkey-79f11.5	si:dkey-79f11.5	NC_007112.7	-	7994106	8000558	12.838372	4.046383	5.222991
si:dkeyp-9d4.2	si:dkeyp-9d4.2	NC_007112.7	-	8016616	8020713	68.383987	21.553183	27.820419
si:dkeyp-9d4.3	si:dkeyp-9d4.3	NC_007112.7	-	8022320	8101668	0.659755	0.207941	0.268406
si:dkeyp-9d4.5	si:dkeyp-9d4.5	NC_007112.7	+	8109810	8163473	0.425964	0.186701	0.240990
LOC101882918	LOC101882918	NC_007112.7	-	8128468	8142226	1.235922	0.551287	0.711591
grapb	grapb	NC_007112.7	-	8165340	8192418	0.000000	0.000000	0.000000
LOC103911848	LOC103911848	NC_007112.7	-	8200733	8205228	0.000000	0.000000	0.000000
cacna1hb	cacna1hb	NC_007112.7	+	8304862	8404338	0.823156	0.259441	0.334882
syngr3b	syngr3b	NC_007112.7	-	8415983	8428760	4.297256	1.354404	1.748238
myo15ab	myo15ab	NC_007112.7	+	8435021	8507743	0.100566	0.031696	0.040913
alkbh5	alkbh5	NC_007112.7	+	8508753	8516591	20.797726	6.555002	8.461067
mief2	mief2	NC_007112.7	+	8521323	8530516	11.253989	3.547019	4.578422
smcr8b	smcr8b	NC_007112.7	+	8534698	8540045	1.427494	0.449916	0.580742
zgc:112980	zgc:112980	NC_007112.7	-	8539903	8553326	3.978902	1.288645	1.663357
ptcd1	ptcd1	NC_007112.7	-	8555327	8566666	5.538637	1.745661	2.253265
LOC110439701	LOC110439701	NC_007112.7	+	8573575	8575127	16.807110	5.297245	6.837579
si:ch211-160d14.9	si:ch211-160d14.9	NC_007112.7	+	8587345	8590640	5.928736	2.220241	2.865842
si:ch211-160d14.6	si:ch211-160d14.6	NC_007112.7	+	8601862	8612394	0.000000	0.000000	0.000000
zgc:153118	zgc:153118	NC_007112.7	-	8612572	8613918	0.000000	0.000000	0.000000
LOC101883376	LOC101883376	NC_007112.7	-	8615620	8618349	0.000000	0.000000	0.000000
LOC103911895	LOC103911895	NC_007112.7	-	8626996	8629020	0.000000	0.000000	0.000000
fbxl18	fbxl18	NC_007112.7	-	8638162	8646931	2.038382	0.642455	0.829268
actb1	actb1	NC_007112.7	-	8649104	8652632	1653.822021	521.249634	672.818726
fscn1b	fscn1b	NC_007112.7	+	8662542	8668674	0.251405	0.079238	0.102278
abcg2b	abcg2b	NC_007112.7	-	8674074	8691921	112.627090	35.497669	45.819691
zgc:77849	zgc:77849	NC_007112.7	+	8694196	8702684	74.562500	23.500521	30.334003
grin2ab	grin2ab	NC_007112.7	-	8763721	8918458	0.037333	0.011767	0.015188
si:ch73-191k20.1	si:ch73-191k20.1	NC_007112.7	+	8950804	8963797	0.407399	0.195698	0.252604
socs1b	socs1b	NC_007112.7	-	8961012	8966348	6.894863	2.229240	2.877459
si:ch73-191k20.4	si:ch73-191k20.4	NC_007112.7	-	8974033	8977967	5.093837	1.605469	2.072308
LOC103911865	LOC103911865	NC_007112.7	-	8978905	8980668	0.086502	0.027264	0.035191
tlr2	tlr2	NC_007112.7	+	8983491	8989759	0.343903	0.196404	0.253515
prkcba	prkcba	NC_007112.7	+	9004686	9074691	0.695901	0.256082	0.330546
si:ch211-14k19.8	si:ch211-14k19.8	NC_007112.7	-	9100447	9115045	0.338303	0.106626	0.137631
ndufab1a	ndufab1a	NC_007112.7	-	9118104	9123429	59.429050	18.730778	24.177317
palb2	palb2	NC_007112.7	-	9124996	9134082	0.809859	0.255250	0.329472
LOC110439775	LOC110439775	NC_007112.7	-	9137445	9140104	0.000000	0.000000	0.000000
zgc:152698	zgc:152698	NC_007112.7	+	9144958	9145896	0.310969	0.098011	0.126510
plk1	plk1	NC_007112.7	+	9153187	9161695	0.622440	0.196180	0.253225
ern2	ern2	NC_007112.7	-	9169271	9195936	1.541004	0.488505	0.630553
chtf18	chtf18	NC_007112.7	+	9199038	9227201	0.357121	0.112557	0.145286
gng13a	gng13a	NC_007112.7	-	9227080	9228007	0.000000	0.000000	0.000000
si:dkeyp-57d7.4	si:dkeyp-57d7.4	NC_007112.7	-	9230981	9231841	0.635889	0.200419	0.258697
zgc:136472	zgc:136472	NC_007112.7	-	9234928	9249957	129.447952	41.181488	53.156250
ubn1	ubn1	NC_007112.7	-	9270015	9277986	0.000000	0.000000	0.000000
uncx4.1	uncx4.1	NC_007112.7	+	9290103	9294100	0.000000	0.000000	0.000000
LOC101883884	LOC101883884	NC_007112.7	-	9420821	9422280	0.000000	0.000000	0.000000
micall2b	micall2b	NC_007112.7	-	9460010	9486131	21.328264	7.151064	9.230452
si:ch73-12o23.1	si:ch73-12o23.1	NC_007112.7	-	9499640	9527411	156.963333	51.042934	65.885208
elfn1b	elfn1b	NC_007112.7	+	9557186	9711530	0.000000	0.000000	0.000000
ugt5b5	ugt5b5	NC_007112.7	-	9626277	9629705	22.967327	7.238814	9.343719
ugt5b4	ugt5b4	NC_007112.7	-	9630996	9652696	56.508778	17.810368	22.989271
ugt5b3	ugt5b3	NC_007112.7	-	9635978	9641845	70.141495	22.107111	28.535423
ugt5b2	ugt5b2	NC_007112.7	-	9642976	9644630	48.218842	15.197556	19.616705
ugt5b1	ugt5b1	NC_007112.7	-	9644893	9652725	21.242706	9.398280	12.131114
mad1l1	mad1l1	NC_007112.7	-	9740800	9858521	5.371812	1.693081	2.185396
pmm2	pmm2	NC_007112.7	+	9860381	9866608	4.110824	1.295645	1.672392
zgc:56409	zgc:56409	NC_007112.7	-	9873309	9885360	4.685952	1.476913	1.906370
rgs11	rgs11	NC_007112.7	+	9886942	9914635	1.349774	0.492090	0.635180
tmem8a	tmem8a	NC_007112.7	-	9916376	9941051	5.193527	1.662577	2.146021
LOC110439781	LOC110439781	NC_007112.7	+	9940379	9950811	0.036150	0.044362	0.057261
pdia2	pdia2	NC_007112.7	+	9954485	9964765	210.824234	66.447327	85.768898
si:dkeyp-75b4.8	si:dkeyp-75b4.8	NC_007112.7	+	9966249	9982188	0.000000	0.000000	0.000000
LOC101884154	LOC101884154	NC_007112.7	-	9972260	9977500	0.000000	0.000000	0.000000
LOC101884122	LOC101884122	NC_007112.7	-	9977617	9980951	0.000000	0.000000	0.000000
si:dkeyp-75b4.9	si:dkeyp-75b4.9	NC_007112.7	-	9985169	9989664	8.924408	2.812784	3.630686
si:dkeyp-75b4.10	si:dkeyp-75b4.10	NC_007112.7	+	9994785	10000362	59.656647	18.802509	24.269909
trim2b	trim2b	NC_007112.7	+	10003397	10033493	0.269619	0.084978	0.109688
rnf175	rnf175	NC_007112.7	-	10037444	10048514	14.374680	4.689199	6.052725
fgb	fgb	NC_007112.7	+	10051806	10059430	1.519119	0.478794	0.618018
LOC100536670	LOC100536670	NC_007112.7	-	10063216	10064777	0.000000	0.000000	0.000000
fga	fga	NC_007112.7	-	10066100	10071522	1.046403	0.329804	0.425705
lratb	lratb	NC_007112.7	+	10074498	10113195	7.229382	5.496684	7.095011
lratb.2	lratb.2	NC_007112.7	+	10118455	10123897	0.000000	0.000000	0.000000
rbm46	rbm46	NC_007112.7	+	10127209	10137452	0.000000	0.000000	0.000000
npy2rl	npy2rl	NC_007112.7	+	10221568	10236768	2.074482	0.653833	0.843954
eif3f	eif3f	NC_007112.7	+	10297027	10304044	1267.923828	399.622711	515.825073
zgc:77880	zgc:77880	NC_007112.7	+	10305652	10315206	2.269139	0.715185	0.923146
tmem55bb	tmem55bb	NC_007112.7	+	10318089	10325025	1.931389	0.608733	0.785740
LOC557811	LOC557811	NC_007112.7	-	10328192	10347386	0.024750	0.007801	0.010069
dachb	dachb	NC_007112.7	+	10378677	10448630	1.747284	0.692532	0.893907
tnrc5	tnrc5	NC_007112.7	-	10462692	10473588	8.341372	2.629023	3.393491
zgc:174945	zgc:174945	NC_007112.7	-	10637479	10640624	1.053192	0.331944	0.428466
si:dkey-31e10.1	si:dkey-31e10.1	NC_007112.7	-	10642501	10647351	0.515493	0.229015	0.295608
si:dkey-31e10.5	si:dkey-31e10.5	NC_007112.7	-	10666517	10670695	0.383284	0.120803	0.155930
si:dkey-31e10.6p	si:dkey-31e10.6p	NC_007112.7	-	10672598	10683997	2.453897	0.773416	0.998310
zgc:103678	zgc:103678	NC_007112.7	+	10683843	10696591	20.849905	6.571448	8.482295
atp1b1b	atp1b1b	NC_007112.7	+	10720218	10739209	1.214682	0.382842	0.494165
si:ch73-222h13.1	si:ch73-222h13.1	NC_007112.7	-	10783670	10806635	0.000000	0.000000	0.000000
crfb15	crfb15	NC_007112.7	-	10809355	10821584	4.024068	1.307164	1.687262
dmd	dmd	NC_007112.7	-	10824343	11075439	1.139610	1.386171	1.789241
casc5	casc5	NC_007112.7	-	11086955	11107435	0.082247	0.025923	0.033460
knstrn	knstrn	NC_007112.7	+	11107743	11117501	0.784375	0.247218	0.319105
sdk1b	sdk1b	NC_007112.7	-	11124265	11509093	0.045312	0.014281	0.018434
si:dkey-26i13.7	si:dkey-26i13.7	NC_007112.7	-	11595545	11596859	0.073688	0.023225	0.029978
si:dkey-26i13.6	si:dkey-26i13.6	NC_007112.7	-	11605669	11609410	0.198996	0.062719	0.080957
si:dkey-26i13.5	si:dkey-26i13.5	NC_007112.7	-	11614932	11616394	0.151914	0.047880	0.061803
si:dkey-26i13.3	si:dkey-26i13.3	NC_007112.7	-	11625917	11627485	0.342575	0.107972	0.139369
si:dkey-26i13.4	si:dkey-26i13.4	NC_007112.7	-	11641314	11643990	0.072963	0.022996	0.029683
LOC797518	LOC797518	NC_007112.7	+	11660081	11670297	2.223927	0.700935	0.904753
brat1	brat1	NC_007112.7	-	11670879	11689597	6.946005	2.274016	2.935255
si:dkey-26i13.8	si:dkey-26i13.8	NC_007112.7	+	11711226	11733311	0.000000	0.000000	0.000000
chst12b	chst12b	NC_007112.7	+	11735655	11738573	0.000000	0.000000	0.000000
zmp:0000001069	zmp:0000001069	NC_007112.7	-	11775536	11778831	0.000000	0.000000	0.000000
ttyh3b	ttyh3b	NC_007112.7	-	11785645	11850385	1.954326	0.695362	0.897560
iqce	iqce	NC_007112.7	-	11854710	11878868	2.164773	0.682290	0.880687
snx8b	snx8b	NC_007112.7	+	11881533	11900425	0.624117	0.196708	0.253907
grk4	grk4	NC_007112.7	-	11902579	11973372	7.964520	2.963075	3.824678
tspan5b	tspan5b	NC_007112.7	+	11977426	11994710	5.881585	1.853751	2.392785
slc24a2	slc24a2	NC_007112.7	+	12009502	12041473	0.000000	0.000000	0.000000
saraf	saraf	NC_007112.7	+	12049233	12059553	20.648672	7.385597	9.533181
pla2g12a	pla2g12a	NC_007112.7	-	12061284	12064745	55.193771	17.395906	22.454292
LOC110439783	LOC110439783	NC_007112.7	-	12066440	12068628	0.000000	0.000000	0.000000
xpa	xpa	NC_007112.7	+	12068725	12097812	0.904096	0.409791	0.528950
mtp	mtp	NC_007112.7	-	12107680	12126541	256.005768	80.687592	104.149940
spink4	spink4	NC_007112.7	+	12135054	12138616	542.950378	171.126450	220.886642
b4galt1	b4galt1	NC_007112.7	-	12141467	12161147	7.296721	2.299772	2.968500
stra6l	stra6l	NC_007112.7	+	12172289	12191051	76.851097	35.844528	46.267403
tdrd7a	tdrd7a	NC_007112.7	+	12195723	12228117	0.000000	0.000000	0.000000
tmod1	tmod1	NC_007112.7	+	12228213	12259063	0.759275	0.680394	0.878239
cplx2l	cplx2l	NC_007112.7	-	12262980	12278778	0.768561	0.259793	0.335336
gne	gne	NC_007112.7	+	12295258	12334540	5.222629	1.646062	2.124704
nansa	nansa	NC_007112.7	+	12335864	12344788	41.620960	13.118044	16.932512
clta	clta	NC_007112.7	+	12348217	12361930	118.531853	38.653717	49.893448
sclt1	sclt1	NC_007112.7	-	12364455	12394162	4.228022	1.382726	1.784795
zgc:77739	zgc:77739	NC_007112.7	+	12394197	12397886	1392.041016	500.973785	646.647034
LOC103911926	LOC103911926	NC_007112.7	+	12672817	12676199	0.159467	0.054415	0.070237
pcdh10a	pcdh10a	NC_007112.7	+	12763417	12797552	1.167137	0.380694	0.491392
si:dkeyp-7b3.2	si:dkeyp-7b3.2	NC_007112.7	+	12924459	12936988	0.000000	0.000000	0.000000
si:dkeyp-106c3.2	si:dkeyp-106c3.2	NC_007112.7	+	13087533	13088903	0.094964	0.029931	0.038634
pcdh18a	pcdh18a	NC_007112.7	-	13261115	13271156	3.716428	1.182050	1.525767
LOC101886760	LOC101886760	NC_007112.7	+	13479125	13482300	0.301137	0.099613	0.128579
LOC101886790	LOC101886790	NC_007112.7	-	13485420	13487161	0.978331	0.308349	0.398011
LOC101886839	LOC101886839	NC_007112.7	-	13598720	13603663	0.000000	0.000000	0.000000
noctb	noctb	NC_007112.7	+	13930662	13953733	0.847086	0.754037	0.973297
elf2b	elf2b	NC_007112.7	-	13957218	13989498	10.831073	4.102561	5.295504
mgarp	mgarp	NC_007112.7	-	13997809	14014931	0.000000	0.000000	0.000000
hpf1	hpf1	NC_007112.7	+	14020445	14026781	3.975027	1.252844	1.617146
ank2a	ank2a	NC_007112.7	+	14029159	14160253	0.253583	0.120258	0.155227
LOC101887098	LOC101887098	NC_007112.7	+	14115836	14117650	0.000000	0.000000	0.000000
camk2d2	camk2d2	NC_007112.7	-	14162472	14234120	0.481184	0.151877	0.196040
cxcl8a	cxcl8a	NC_007112.7	+	14253145	14254126	16.647150	5.263823	6.794439
pde5aa	pde5aa	NC_007112.7	-	14256716	14283599	1.603575	0.505413	0.652377
ppp2r2ca	ppp2r2ca	NC_007112.7	+	14283692	14306853	1.174742	0.379552	0.489919
wfs1a	wfs1a	NC_007112.7	-	14313636	14339639	0.000000	0.000000	0.000000
crmp1	crmp1	NC_007112.7	+	14343317	14364712	0.155724	0.067330	0.086909
LOC567498	LOC567498	NC_007112.7	+	14372550	14374931	0.031906	0.010056	0.012980
fip1l1b	fip1l1b	NC_007112.7	+	14382797	14403687	37.149471	11.774534	15.198336
LOC553528	LOC553528	NC_007112.7	-	14397869	14426912	1.272791	1.346990	1.738668
chic2	chic2	NC_007112.7	+	14406145	14416437	22.154776	6.982716	9.013151
slc34a2aas	slc34a2aas	NC_007112.7	-	14432054	14454434	2.908739	0.916773	1.183352
slc34a2a	slc34a2a	NC_007112.7	+	14432438	14442899	3063.761230	965.632629	1246.419434
rbpja	rbpja	NC_007112.7	+	14454663	14464020	14.978108	4.720782	6.093492
stim2a	stim2a	NC_007112.7	+	14465021	14484107	0.074256	0.023404	0.030209
LOC101882365	LOC101882365	NC_007112.7	+	14490479	14494782	0.773303	0.243729	0.314600
si:dkey-194g4.1	si:dkey-194g4.1	NC_007112.7	-	14499690	14507448	1.515867	0.477769	0.616695
LOC100004921	LOC100004921	NC_007112.7	+	14511438	14518343	0.000000	0.000000	0.000000
LOC110439785	LOC110439785	NC_007112.7	-	14517197	14517708	0.000000	0.000000	0.000000
LOC100004978	LOC100004978	NC_007112.7	-	14518957	14524540	0.101428	0.041498	0.053565
LOC110437782	LOC110437782	NC_007112.7	-	14527258	14538689	3.631810	1.306187	1.686001
LOC100329816	LOC100329816	NC_007112.7	+	14544029	14555625	0.000000	0.000000	0.000000
LOC100332745	LOC100332745	NC_007112.7	+	14555601	14575841	0.000000	0.000000	0.000000
LOC101884963	LOC101884963	NC_007112.7	-	14562159	14562816	0.000000	0.000000	0.000000
LOC100005071	LOC100005071	NC_007112.7	+	14575980	14592833	0.000000	0.000000	0.000000
LOC110438559	LOC110438559	NC_007112.7	+	14624516	14625552	0.000000	0.000000	0.000000
LOC108189345	LOC108189345	NC_007112.7	+	14625693	14648950	0.000000	0.000000	0.000000
LOC108189470	LOC108189470	NC_007112.7	-	14641096	14641878	0.000000	0.000000	0.000000
LOC108189376	LOC108189376	NC_007112.7	-	14650749	14651745	0.000000	0.000000	0.000000
LOC110438560	LOC110438560	NC_007112.7	-	14652288	14655827	0.110056	0.034687	0.044774
LOC100330143	LOC100330143	NC_007112.7	+	14655841	14663152	1.412761	0.455038	0.587353
LOC108185170	LOC108185170	NC_007112.7	+	14666883	14669165	0.139158	0.043860	0.056613
LOC100537170	LOC100537170	NC_007112.7	-	14669877	14673751	0.018037	0.006302	0.008134
LOC100330009	LOC100330009	NC_007112.7	-	14692310	14699450	0.000000	0.000000	0.000000
