transcript_id	gene_id	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01115.1	AT1G01115	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01120.1	AT1G01120	25.15	33.07	17.57	33.41	40.63	44.40
AT1G01130.1	AT1G01130	2.78	0.00	3.10	3.29	5.22	6.45
AT1G01140.1	AT1G01140	11.48	11.02	9.16	6.84	4.35	6.15
AT1G01140.2	AT1G01140	0.00	0.00	0.00	0.12	0.00	0.00
AT1G01140.3	AT1G01140	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01150.1	AT1G01150	0.15	0.00	0.52	0.60	0.37	0.40
AT1G01160.1	AT1G01160	29.57	24.68	37.97	30.87	25.82	24.51
AT1G01160.2	AT1G01160	0.05	0.05	0.00	0.00	0.00	0.00
AT1G01170.1	AT1G01170	62.70	66.56	59.93	21.80	52.11	33.28
AT1G01170.2	AT1G01170	2.32	2.37	0.00	2.09	1.25	2.07
AT1G01180.1	AT1G01180	24.90	25.16	20.35	21.31	20.01	23.61
AT1G01183.1	AT1G01183	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01190.1	AT1G01190	5.74	12.01	10.05	21.26	19.64	16.51
AT1G01200.1	AT1G01200	2.43	2.57	4.29	16.26	8.51	10.83
AT1G01210.1	AT1G01210	27.31	41.44	25.39	57.51	36.86	48.10
AT1G01220.1	AT1G01220	6.91	7.45	6.63	7.80	5.61	6.38
AT1G01225.1	AT1G01225	6.23	9.74	6.95	10.76	9.25	6.56
AT1G01230.1	AT1G01230	70.53	72.53	65.69	49.50	57.78	59.44
AT1G01240.1	AT1G01240	30.22	33.45	37.76	10.84	18.29	14.83
AT1G01240.2	AT1G01240	1.97	0.00	2.62	0.00	0.00	0.00
AT1G01240.3	AT1G01240	3.54	4.49	4.17	2.00	1.66	2.51
AT1G01250.1	AT1G01250	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01260.1	AT1G01260	6.29	3.99	2.05	2.84	0.62	0.00
AT1G01260.2	AT1G01260	1.11	2.85	3.94	5.14	7.08	5.75
AT1G01260.3	AT1G01260	0.00	0.00	1.25	0.00	0.00	2.97
AT1G01270.1	AT1G01270	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01280.1	AT1G01280	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01290.1	AT1G01290	3.69	6.04	5.54	11.70	7.78	4.15
AT1G01290.2	AT1G01290	10.88	7.72	5.79	8.15	6.84	11.67
AT1G01300.1	AT1G01300	28.06	29.79	25.24	57.93	52.96	35.79
AT1G01305.1	AT1G01305	0.60	0.00	0.00	0.00	0.00	0.00
AT1G01310.1	AT1G01310	0.26	0.48	0.53	0.10	0.55	0.59
AT1G01320.1	AT1G01320	1.37	1.42	1.67	3.38	2.34	2.38
AT1G01320.2	AT1G01320	3.14	2.45	3.10	1.97	2.99	1.92
AT1G01340.1	AT1G01340	0.00	0.00	0.00	0.00	1.67	0.00
AT1G01340.2	AT1G01340	11.20	13.21	16.19	10.89	9.22	12.74
AT1G01350.1	AT1G01350	15.21	20.63	19.45	22.99	20.54	20.43
AT1G01355.1	AT1G01355	1.08	2.75	1.03	0.25	0.40	0.00
AT1G01360.1	AT1G01360	28.28	53.06	32.84	27.90	28.41	35.30
AT1G01370.1	AT1G01370	3.17	0.00	8.60	3.97	3.89	5.57
AT1G01370.2	AT1G01370	3.45	3.62	2.79	6.85	5.44	6.92
AT1G01380.1	AT1G01380	7.94	12.47	3.23	13.88	7.08	6.94
AT1G01390.1	AT1G01390	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01400.1	AT1G01400	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01410.1	AT1G01410	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01420.1	AT1G01420	0.99	0.50	0.84	2.08	1.91	3.00
AT1G01430.1	AT1G01430	22.60	20.31	17.61	18.43	22.27	18.47
AT1G01440.1	AT1G01440	11.86	9.78	9.68	7.52	8.22	7.47
AT1G01448.1	AT1G01448	5.50	3.23	3.61	2.66	3.20	2.96
AT1G01448.2	AT1G01448	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01448.3	AT1G01448	1.38	0.76	1.24	0.63	2.26	0.97
AT1G01450.1	AT1G01450	0.00	0.37	0.97	0.41	0.30	0.30
AT1G01453.1	AT1G01453	2.20	0.57	0.84	1.47	1.61	2.21
AT1G01453.2	AT1G01453	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01460.1	AT1G01460	0.20	0.00	0.00	0.00	0.06	0.00
AT1G01470.1	AT1G01470	62.34	76.13	76.07	106.94	132.93	106.67
AT1G01471.1	AT1G01471	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01480.1	AT1G01480	2.36	0.00	0.00	0.95	3.14	2.45
AT1G01480.2	AT1G01480	0.47	1.58	2.67	1.98	0.00	0.29
AT1G01490.1	AT1G01490	44.65	43.54	34.35	39.93	25.16	39.19
AT1G01490.2	AT1G01490	18.64	33.17	27.74	60.67	33.03	56.31
AT1G01500.1	AT1G01500	7.31	5.28	4.93	8.67	6.02	7.36
AT1G01510.1	AT1G01510	31.37	37.67	31.73	32.36	26.83	25.75
AT1G01520.1	AT1G01520	0.00	0.50	0.13	0.18	0.00	0.76
AT1G01530.1	AT1G01530	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01540.1	AT1G01540	0.38	0.00	3.12	2.12	0.92	1.28
AT1G01540.2	AT1G01540	19.93	24.65	22.88	21.43	18.17	22.12
AT1G01550.1	AT1G01550	156.02	157.99	179.77	153.04	154.06	161.75
AT1G01550.2	AT1G01550	4.91	6.59	5.76	13.30	6.61	4.54
AT1G01560.1	AT1G01560	0.00	0.00	0.00	0.05	0.00	0.49
AT1G01560.2	AT1G01560	0.31	1.77	0.74	2.38	2.06	2.36
AT1G01570.1	AT1G01570	1.82	1.88	4.27	3.90	3.13	3.18
AT1G01580.1	AT1G01580	2.60	2.27	15.07	159.92	22.64	68.92
AT1G01590.1	AT1G01590	0.00	0.16	0.00	0.02	0.08	0.00
AT1G01600.1	AT1G01600	1.78	3.36	1.68	3.55	3.15	2.29
AT1G01610.1	AT1G01610	37.68	51.63	38.79	51.67	50.67	67.20
AT1G01620.1	AT1G01620	947.85	879.43	960.52	371.28	470.54	457.73
AT1G01620.2	AT1G01620	0.46	0.00	0.49	0.00	0.00	0.46
AT1G01630.1	AT1G01630	33.58	31.56	33.15	40.58	31.86	38.64
AT1G01640.1	AT1G01640	50.72	44.51	48.09	30.91	32.59	24.44
AT1G01640.2	AT1G01640	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01650.1	AT1G01650	28.23	30.79	31.80	28.27	20.38	24.87
AT1G01650.2	AT1G01650	1.66	0.11	0.06	1.57	0.19	0.95
AT1G01660.1	AT1G01660	2.56	2.76	4.19	3.77	2.88	3.32
AT1G01670.1	AT1G01670	6.53	6.30	8.12	5.53	4.54	4.42
AT1G01680.1	AT1G01680	0.00	0.00	0.82	0.53	0.10	0.89
AT1G01690.1	AT1G01690	3.93	5.15	5.17	5.41	6.89	5.48
AT1G01695.1	AT1G01695	0.00	0.00	0.00	0.36	0.00	0.21
AT1G01700.1	AT1G01700	0.58	0.77	0.47	0.96	0.63	0.63
AT1G01710.1	AT1G01710	13.72	11.72	12.19	12.98	12.68	12.66
AT1G01720.1	AT1G01720	59.24	86.02	72.50	47.01	50.66	46.07
AT1G01725.1	AT1G01725	33.10	33.84	26.89	16.65	24.37	24.86
AT1G01730.1	AT1G01730	44.19	41.92	48.90	36.21	36.15	30.55
AT1G01740.1	AT1G01740	0.17	0.34	1.25	0.90	1.54	0.67
AT1G01740.2	AT1G01740	1.68	0.72	1.82	1.89	0.74	1.96
AT1G01750.1	AT1G01750	41.66	38.96	51.75	45.62	38.74	51.75
AT1G01760.1	AT1G01760	4.21	2.61	4.18	2.30	0.84	1.30
AT1G01770.1	AT1G01770	12.39	11.54	14.73	5.95	6.84	5.68
AT1G01780.1	AT1G01780	31.37	24.06	32.96	18.39	16.03	17.18
AT1G01790.1	AT1G01790	5.80	6.76	5.74	5.61	6.05	5.20
AT1G01800.1	AT1G01800	98.13	125.85	116.22	102.67	85.21	99.10
AT1G01800.2	AT1G01800	0.00	0.40	0.00	0.55	0.65	1.80
AT1G01810.1	AT1G01810	1.26	0.54	0.00	1.44	1.28	2.50
AT1G01820.1	AT1G01820	59.48	51.50	66.36	42.90	50.17	41.65
AT1G01830.1	AT1G01830	1.61	0.00	1.61	4.31	2.69	0.00
AT1G01830.2	AT1G01830	4.86	4.67	0.00	0.28	2.17	6.26
AT1G01830.3	AT1G01830	2.23	1.76	4.62	2.03	2.54	0.56
AT1G01840.1	AT1G01840	1.61	2.09	1.78	3.17	1.35	2.55
AT1G01860.1	AT1G01860	5.00	4.10	5.18	4.15	3.60	3.57
AT1G01870.1	AT1G01870	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01880.1	AT1G01880	0.00	0.00	1.21	1.55	1.02	0.79
AT1G01880.2	AT1G01880	2.07	1.37	0.00	0.00	0.00	0.00
AT1G01890.1	AT1G01890	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01900.1	AT1G01900	1.54	2.28	2.19	2.60	3.55	2.83
AT1G01910.1	AT1G01910	16.05	9.47	12.44	8.32	1.35	7.33
AT1G01910.2	AT1G01910	26.30	17.20	24.69	19.65	27.91	18.58
AT1G01910.3	AT1G01910	0.00	0.00	0.15	1.56	0.24	0.19
AT1G01910.4	AT1G01910	3.41	12.20	5.96	8.17	3.45	2.22
AT1G01910.5	AT1G01910	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01920.1	AT1G01920	0.00	0.00	0.03	0.49	0.33	0.00
AT1G01920.2	AT1G01920	8.14	11.33	10.31	14.32	11.28	10.82
AT1G01930.1	AT1G01930	11.11	11.20	10.34	9.07	8.73	9.41
AT1G01940.1	AT1G01940	39.00	29.90	36.04	36.73	29.72	39.44
AT1G01950.1	AT1G01950	8.79	10.31	8.21	10.40	9.22	10.89
AT1G01950.2	AT1G01950	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01950.3	AT1G01950	0.00	0.04	0.00	0.00	0.00	0.00
AT1G01960.1	AT1G01960	22.10	23.13	19.36	22.68	19.78	17.33
AT1G01970.1	AT1G01970	4.72	7.08	5.10	4.73	5.92	5.21
AT1G01980.1	AT1G01980	0.00	0.00	0.00	0.09	0.00	0.00
AT1G01990.1	AT1G01990	19.28	19.18	15.02	12.94	12.97	10.41
AT1G02000.1	AT1G02000	7.98	8.75	8.15	7.79	7.83	7.07
AT1G02010.1	AT1G02010	3.79	4.95	2.85	3.29	2.52	3.61
AT1G02010.2	AT1G02010	0.00	0.00	0.00	0.00	0.02	0.00
AT1G02020.1	AT1G02020	1.93	1.95	1.61	2.14	1.77	2.44
AT1G02020.2	AT1G02020	0.00	0.14	0.00	0.00	0.00	0.00
AT1G02030.1	AT1G02030	0.24	0.44	0.62	0.17	0.47	0.77
AT1G02040.1	AT1G02040	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02050.1	AT1G02050	6.11	5.27	4.34	4.03	6.11	4.45
AT1G02060.1	AT1G02060	4.36	5.19	4.48	2.65	3.60	2.16
AT1G02065.1	AT1G02065	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02065.2	AT1G02065	0.00	0.00	0.00	0.00	0.00	0.08
AT1G02070.1	AT1G02070	0.00	0.00	0.00	0.77	1.06	0.42
AT1G02074.1	AT1G02074	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02080.1	AT1G02080	5.56	2.47	2.49	1.22	1.37	0.74
AT1G02080.2	AT1G02080	12.01	14.23	12.59	14.91	15.36	12.85
AT1G02090.1	AT1G02090	26.19	28.94	32.67	40.74	34.74	41.04
AT1G02090.2	AT1G02090	5.90	6.11	5.41	4.74	12.11	4.95
AT1G02090.3	AT1G02090	2.93	3.01	2.29	3.76	3.37	2.71
AT1G02100.1	AT1G02100	18.41	20.23	23.07	19.03	14.62	18.57
AT1G02100.2	AT1G02100	1.06	0.00	0.00	0.00	0.00	0.00
AT1G02100.3	AT1G02100	28.44	34.62	24.60	16.80	20.20	13.06
AT1G02110.1	AT1G02110	15.18	14.38	10.56	11.33	11.61	8.53
AT1G02120.1	AT1G02120	48.06	51.92	47.63	32.78	39.45	37.78
AT1G02130.1	AT1G02130	51.33	51.43	55.26	46.37	43.23	50.31
AT1G02136.1	AT1G02136	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02140.1	AT1G02140	146.14	172.66	183.12	252.11	180.40	224.56
AT1G02145.1	AT1G02145	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02145.2	AT1G02145	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02145.3	AT1G02145	11.96	11.48	11.15	12.68	13.02	13.93
AT1G02145.4	AT1G02145	0.47	3.11	0.00	1.11	0.00	1.15
AT1G02150.1	AT1G02150	18.27	16.49	13.52	13.21	13.36	11.74
AT1G02160.1	AT1G02160	36.65	39.57	50.83	39.40	46.92	42.91
AT1G02160.2	AT1G02160	2.16	0.00	2.48	0.97	5.97	1.66
AT1G02170.1	AT1G02170	35.23	33.08	42.34	27.88	31.95	29.43
AT1G02180.1	AT1G02180	1.06	3.35	2.88	3.86	2.27	2.97
AT1G02190.1	AT1G02190	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02190.2	AT1G02190	0.00	0.00	0.00	0.00	0.08	0.16
AT1G02205.1	AT1G02205	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02205.2	AT1G02205	1.61	1.49	0.92	1.71	1.52	1.84
AT1G02205.3	AT1G02205	0.00	0.00	0.00	0.43	0.00	0.00
AT1G02210.1	AT1G02210	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02220.1	AT1G02220	7.82	10.66	7.05	12.93	14.20	16.39
AT1G02228.1	AT1G02228	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02230.1	AT1G02230	1.80	0.47	1.14	1.76	0.60	1.39
AT1G02250.1	AT1G02250	0.00	0.41	0.00	0.36	0.50	0.65
AT1G02260.1	AT1G02260	1.65	1.03	1.43	2.08	2.20	1.52
AT1G02270.1	AT1G02270	9.08	6.41	10.12	10.51	11.11	9.16
AT1G02280.1	AT1G02280	31.30	43.10	41.83	31.18	33.71	36.91
AT1G02280.2	AT1G02280	6.43	6.65	4.89	4.07	4.32	4.22
AT1G02290.1	AT1G02290	7.05	7.27	7.34	7.53	6.40	5.70
AT1G02300.1	AT1G02300	12.14	6.73	12.64	5.86	12.14	6.62
AT1G02305.1	AT1G02305	119.69	155.54	157.74	57.74	79.21	69.27
AT1G02310.1	AT1G02310	3.53	8.20	6.11	6.43	6.62	5.21
AT1G02320.1	AT1G02320	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02330.1	AT1G02330	37.77	36.69	47.97	35.72	36.78	39.42
AT1G02335.1	AT1G02335	27.65	35.41	27.40	27.25	38.44	26.04
AT1G02340.1	AT1G02340	9.93	19.21	11.46	2.79	5.48	7.15
AT1G02350.1	AT1G02350	1.43	0.00	0.00	0.63	0.14	2.01
AT1G02360.1	AT1G02360	58.28	75.93	70.63	63.59	74.46	71.61
AT1G02370.1	AT1G02370	5.32	3.66	4.21	5.59	4.05	4.41
AT1G02380.1	AT1G02380	3.24	1.92	2.69	2.44	2.99	2.51
AT1G02390.1	AT1G02390	0.70	0.68	0.03	1.42	0.56	1.11
AT1G02391.1	AT1G02391	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02400.1	AT1G02400	9.46	16.66	13.13	18.67	13.84	16.43
AT1G02405.1	AT1G02405	0.00	0.00	0.82	0.20	0.54	0.88
AT1G02410.1	AT1G02410	20.38	24.70	24.87	33.96	26.48	28.67
AT1G02420.1	AT1G02420	2.31	1.92	3.60	3.43	1.80	2.45
AT1G02430.1	AT1G02430	5.94	3.14	4.23	5.19	3.28	5.18
AT1G02440.1	AT1G02440	0.33	0.00	0.19	1.46	0.23	0.29
AT1G02450.1	AT1G02450	0.00	0.00	0.00	2.00	0.00	0.00
AT1G02460.1	AT1G02460	2.03	2.32	2.53	4.04	2.13	2.46
AT1G02470.1	AT1G02470	1.04	0.00	0.43	0.64	0.00	0.00
AT1G02470.2	AT1G02470	0.00	0.20	0.00	0.00	1.85	0.00
AT1G02475.1	AT1G02475	7.02	12.17	9.44	11.53	10.97	9.39
AT1G02480.1	AT1G02480	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02490.1	AT1G02490	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02500.1	AT1G02500	543.04	655.32	514.71	619.37	480.47	504.59
AT1G02500.2	AT1G02500	46.53	71.33	59.77	49.25	40.32	44.11
AT1G02510.1	AT1G02510	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02520.1	AT1G02520	17.87	25.39	22.24	28.73	15.38	25.20
AT1G02530.1	AT1G02530	0.16	0.06	0.15	0.51	0.16	0.14
AT1G02540.1	AT1G02540	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02550.1	AT1G02550	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02560.1	AT1G02560	39.68	36.13	42.31	45.39	40.94	36.37
AT1G02570.1	AT1G02570	3.00	2.85	2.60	1.61	1.17	2.20
AT1G02575.1	AT1G02575	2.59	4.43	5.48	1.58	4.60	3.78
AT1G02580.1	AT1G02580	0.30	0.00	0.39	0.03	0.19	0.00
AT1G02590.1	AT1G02590	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02600.1	AT1G02600	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02610.1	AT1G02610	17.76	17.90	26.50	1.85	4.34	5.33
AT1G02620.1	AT1G02620	1.12	1.57	0.65	0.00	0.00	0.00
AT1G02630.1	AT1G02630	0.00	0.00	0.34	0.00	0.00	0.00
AT1G02630.2	AT1G02630	0.07	0.38	0.00	0.00	0.00	0.25
AT1G02640.1	AT1G02640	99.53	124.86	119.59	19.67	35.55	28.54
AT1G02650.1	AT1G02650	0.39	0.35	0.30	0.23	0.33	0.66
AT1G02660.1	AT1G02660	4.24	7.60	3.55	2.75	4.57	3.06
AT1G02670.1	AT1G02670	0.48	0.14	0.25	0.25	0.75	0.74
AT1G02680.1	AT1G02680	16.37	12.83	15.41	9.69	11.90	13.72
AT1G02681.1	AT1G02681	0.00	0.00	0.00	0.00	0.96	0.72
AT1G02690.1	AT1G02690	18.40	14.32	17.83	27.80	18.30	16.95
AT1G02690.2	AT1G02690	0.00	0.00	0.00	0.08	0.14	0.00
AT1G02700.1	AT1G02700	0.53	1.86	0.88	0.71	0.86	0.55
AT1G02710.1	AT1G02710	0.00	0.00	0.00	2.50	0.00	0.00
AT1G02720.1	AT1G02720	6.91	6.19	6.48	7.80	8.76	6.67
AT1G02720.2	AT1G02720	0.00	0.66	1.47	1.14	0.04	1.17
AT1G02730.1	AT1G02730	14.21	12.21	11.62	26.92	24.55	21.05
AT1G02740.1	AT1G02740	7.32	9.78	7.25	8.36	7.99	7.64
AT1G02750.1	AT1G02750	28.44	26.49	35.97	26.97	17.20	26.67
AT1G02750.2	AT1G02750	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02760.1	AT1G02760	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02770.1	AT1G02770	0.00	0.40	0.00	0.22	0.33	0.25
AT1G02780.1	AT1G02780	1005.29	909.70	960.18	1299.51	892.51	979.15
AT1G02790.1	AT1G02790	0.00	0.00	0.00	0.05	0.00	0.00
AT1G02800.1	AT1G02800	0.02	0.00	0.00	0.09	0.42	0.15
AT1G02810.1	AT1G02810	10.09	8.95	9.97	11.99	10.65	11.80
AT1G02813.1	AT1G02813	0.82	0.86	0.00	0.35	0.90	0.78
AT1G02816.1	AT1G02816	38.36	41.53	43.23	41.38	31.33	33.94
AT1G02820.1	AT1G02820	0.00	0.00	0.00	0.55	1.64	0.92
AT1G02830.1	AT1G02830	0.00	0.00	0.92	0.00	0.00	0.00
AT1G02840.1	AT1G02840	80.64	111.45	89.09	52.97	61.71	52.94
AT1G02840.2	AT1G02840	17.81	18.44	15.77	13.31	17.74	16.73
AT1G02840.3	AT1G02840	20.12	16.42	14.50	19.26	16.59	10.06
AT1G02850.1	AT1G02850	13.40	20.29	18.48	18.99	14.70	19.44
AT1G02850.2	AT1G02850	2.20	0.00	1.31	1.65	1.05	0.90
AT1G02850.3	AT1G02850	0.32	0.00	0.00	0.56	0.00	0.00
AT1G02850.4	AT1G02850	0.55	3.59	2.20	0.65	1.72	0.07
AT1G02850.5	AT1G02850	5.77	3.60	1.73	6.42	7.69	6.95
AT1G02860.1	AT1G02860	45.95	36.41	51.00	17.55	26.64	25.99
AT1G02860.2	AT1G02860	0.07	0.00	0.00	0.10	0.00	0.00
AT1G02870.1	AT1G02870	29.40	39.15	33.63	39.72	24.10	24.04
AT1G02880.1	AT1G02880	1.37	1.43	3.30	1.44	2.37	1.83
AT1G02880.2	AT1G02880	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02880.3	AT1G02880	14.91	18.87	19.27	20.40	19.22	23.54
AT1G02880.4	AT1G02880	3.65	11.04	1.64	7.53	4.66	6.77
AT1G02890.1	AT1G02890	27.78	26.61	24.53	26.59	27.31	25.85
AT1G02890.2	AT1G02890	0.00	0.00	0.00	0.12	0.00	0.00
AT1G02900.1	AT1G02900	196.93	253.98	233.41	256.42	338.12	296.56
AT1G02910.1	AT1G02910	10.09	9.43	11.68	10.63	9.46	11.39
AT1G02920.1	AT1G02920	59.99	32.38	54.17	22.41	40.97	29.67
AT1G02930.1	AT1G02930	47.91	35.50	33.98	19.64	28.47	21.05
AT1G02930.2	AT1G02930	6.81	13.71	26.36	6.32	10.06	12.39
AT1G02940.1	AT1G02940	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02950.1	AT1G02950	9.66	8.80	23.24	10.81	19.09	11.60
AT1G02950.2	AT1G02950	3.41	2.95	0.00	0.31	0.00	0.00
AT1G02950.3	AT1G02950	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02950.4	AT1G02950	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02952.1	AT1G02952	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02960.1	AT1G02960	2.21	0.00	4.34	2.93	0.71	1.73
AT1G02960.2	AT1G02960	4.53	7.91	3.25	2.03	3.26	3.25
AT1G02960.3	AT1G02960	2.46	3.06	2.07	2.77	4.97	1.14
AT1G02965.1	AT1G02965	0.00	0.00	0.00	0.00	0.00	0.00
AT1G02970.1	AT1G02970	3.34	3.53	2.85	3.91	4.11	3.85
AT1G02980.1	AT1G02980	0.24	0.42	0.45	0.41	0.46	0.61
AT1G02990.1	AT1G02990	0.00	0.00	0.00	0.22	0.00	0.00
AT1G02990.2	AT1G02990	1.92	0.00	0.00	0.00	0.00	0.00
AT1G02990.3	AT1G02990	4.27	6.40	5.41	6.57	5.42	5.83
AT1G03000.1	AT1G03000	8.02	5.96	7.38	6.08	6.97	6.13
AT1G03010.1	AT1G03010	3.88	3.43	4.31	2.00	2.00	1.41
AT1G03020.1	AT1G03020	0.00	0.00	0.00	0.00	0.00	0.00
AT1G03022.1	AT1G03022	0.00	0.00	0.00	0.00	0.00	0.00
AT1G03030.1	AT1G03030	9.63	14.66	15.43	14.84	12.59	12.86
AT1G03040.1	AT1G03040	26.45	36.61	35.74	35.44	32.80	32.22
AT1G03040.2	AT1G03040	0.42	2.85	1.26	2.85	0.53	2.02
AT1G03050.1	AT1G03050	0.00	0.00	0.00	0.04	0.07	0.17
AT1G03055.1	AT1G03055	0.00	0.67	0.00	0.00	0.00	0.39
AT1G03055.2	AT1G03055	0.00	0.00	0.00	0.00	0.00	0.00
AT1G03060.1	AT1G03060	8.87	8.35	7.99	8.46	9.14	8.02
AT1G03070.1	AT1G03070	2.31	2.18	1.37	1.26	1.00	1.29
AT1G03070.2	AT1G03070	0.00	0.00	0.00	0.00	0.00	0.00
AT1G03080.1	AT1G03080	28.49	26.99	27.49	29.07	26.80	29.25
AT1G03090.1	AT1G03090	0.00	1.33	4.67	0.34	0.00	0.79
AT1G03090.2	AT1G03090	73.95	55.45	97.69	10.85	19.38	16.63
AT1G03100.1	AT1G03100	1.00	0.72	0.69	2.19	1.36	1.31
AT1G03103.1	AT1G03103	0.00	0.00	0.00	0.00	0.00	0.00
AT1G03106.1	AT1G03106	1.29	0.84	0.89	1.36	0.69	1.18
AT1G03110.1	AT1G03110	10.90	13.01	11.10	16.68	10.74	11.23
AT1G03120.1	AT1G03120	3.41	1.41	2.41	0.37	1.51	0.00
AT1G03130.1	AT1G03130	9.62	3.52	8.88	2.15	2.71	4.05
AT1G03140.1	AT1G03140	65.93	67.27	73.89	48.01	43.89	47.83
AT1G03150.1	AT1G03150	44.85	39.06	39.07	45.70	33.38	38.54
AT1G03160.1	AT1G03160	4.34	5.95	4.78	3.63	4.52	3.77
AT1G03160.2	AT1G03160	0.04	0.00	0.00	0.00	0.00	0.00
AT1G03170.1	AT1G03170	0.00	0.20	0.00	0.91	0.03	0.28
AT1G03180.1	AT1G03180	3.07	6.43	3.96	6.30	3.89	5.93
AT1G03180.2	AT1G03180	1.26	0.18	0.75	1.01	0.92	1.31
AT1G03190.1	AT1G03190	2.98	3.72	3.59	4.88	4.57	3.73
AT1G03190.2	AT1G03190	0.00	0.67	0.00	0.88	0.00	0.76
AT1G03200.1	AT1G03200	4.65	5.96	11.43	3.75	4.07	5.23
AT1G03210.1	AT1G03210	47.50	48.05	57.62	47.23	51.11	49.81
AT1G03220.1	AT1G03220	348.20	470.80	465.53	325.15	442.88	417.77
AT1G03230.1	AT1G03230	39.88	39.27	47.92	37.15	35.75	21.94
AT1G03240.1	AT1G03240	0.55	0.00	0.00	0.00	0.90	0.00
